file_path,line_range,parameter_name,current_value,category,risk_description,remediation_plan
apps/api/app/core/config.py,33,MODEL_ASSETS_DIR,"os.path.join(BASE_DIR, ""models"", ""bonn"")",Configurable,Defaults to Bonn single-channel model rather than CHB-MIT multi-channel model in API deployment,Allow dynamic model selection via request payload or env variable (MODEL_ASSETS_DIR)
apps/api/app/services/features.py,"41, 105",DEFAULT_WAVELET,"""coif3""",Hardcoded but valid,"Coiflet 3 wavelet is scientifically standard for EEG spike detection, but fixed in code",Pass wavelet family as configurable hyperparameter in preprocessing config
apps/api/app/services/features.py,289,welch_nperseg,"min(512, len(signal))",Hardcoded but valid,"Fixed Welch PSD segment size; appropriate for fs=256 Hz (~2s window), but should scale with fs",Parameterize as nperseg = int(2.0 * fs)
scripts/extract_chbmit_subset.py,20,PATIENTS,"[""chb05"", ""chb06"", ""chb07"", ""chb08"", ""chb09"", ""chb10""]",Hardcoded and dangerous,"Hardcodes a partial patient list, ignoring other patients during extraction",Move patient list to dataset extraction YAML configuration
scripts/extract_chbmit_subset.py,21-23,WINDOW_SEC & FS,"WINDOW_SEC = 23.6, FS = 256, SAMPLES_PER_WINDOW = 6041",Hardcoded but valid,Inherited 23.6s window from Bonn single-channel cutouts; CHB-MIT continuous EEG could benefit from 5s or 10s windows,Make window_sec and overlap_sec central experiment configuration parameters
scripts/extract_chbmit_subset.py,148,Single Channel Selection,"window_data[0:1, :], channel_names=[""Ch0""]",Hardcoded and dangerous,Discards 22 of 23 spatial EEG channels by extracting features ONLY on Channel 0 (FP1-F7),Extract multi-channel spatio-temporal representations across all 23 canonical channels
scripts/extract_multichannel.py,50,WINDOW_SEC_CHBMIT,WINDOW_SEC_CHBMIT = 60.0,Hardcoded and dangerous,Inconsistent window duration across scripts (60.0s here vs 23.6s in subset extractor),Unify windowing strategy into a single reproducible data preparation pipeline
scripts/retrain_chbmit_patient_wise.py,50-69,LGBM_PARAMS,"n_estimators=500, lr=0.05, num_leaves=31, subsample=0.8, colsample=0.8, seed=42",Hardcoded but valid,Fixed tree hyperparameters without systematic hyperparameter search log,Track in Experiment ID configuration file (YAML/JSON)
scripts/cross_dataset_generalization.py,33,Bonn Dataset Path,"""NeuroAegis_bonn_dataset_model/features/features.csv""",Hardcoded and dangerous,Points to an old/external folder path that may fail if directory name differs,Standardize all dataset paths via unified PathManager or environment configuration
apps/api/app/services/dataset_detection/detector.py,35-37,Dataset Detection Heuristic,fs == 173.61 -> Bonn; fs == 256.0 -> CHB-MIT; length == 4097 -> Bonn,Hardcoded but valid,"Rule-based heuristic works for known datasets, but fails if Siena (512 Hz) or other sampling rates are uploaded","Extend dataset detector with Siena profile (512 Hz, standard 10-20 montage)"
apps/api/models/chbmit/model/threshold.json,1,Decision Threshold,0.5 (or calibrated value),Configurable,Default threshold 0.5 causes zero recall on some unseen patients due to calibration shift,Maintain calibrated patient-independent operating thresholds (e.g. 0.20-0.35)
