metric_name,domain,definition,currently_computed,clinical_relevance,action_required
Accuracy,Sample/Window-Level,(TP + TN) / (TP + TN + FP + FN),Yes,Severely Misleading under 54:1 class imbalance (98% baseline accuracy with 0 recall),Retain for reference only; do NOT use as primary optimization target
Precision / Positive Predictive Value,Sample/Window-Level,TP / (TP + FP),Yes,Critical for minimizing false alarm fatigue in clinical ICU/telemetry monitoring,Retain and track across threshold sweeps
Recall / Sensitivity,Sample/Window-Level,TP / (TP + FN),Yes,Critical: missing a seizure (FN) can lead to unmanaged status epilepticus,Retain; prioritize high recall at clinically acceptable false alarm rates
Specificity,Sample/Window-Level,TN / (TN + FP),"Partial (in some scripts, omitted in others)",Measures ability to reject normal background EEG across long recording sessions,Compute systematically across all experiments
F1-Score,Sample/Window-Level,2 * (Precision * Recall) / (Precision + Recall),Yes,Harmonic mean of precision and recall; sensitive to threshold calibration shift,Report at standard (0.5) and calibrated optimal threshold
Balanced Accuracy,Sample/Window-Level,(Sensitivity + Specificity) / 2,No,Robust to severe class imbalance; reflects true non-trivial classification power,Add to standard evaluation pipeline
AUROC (Area Under ROC Curve),Sample/Window-Level,Area under Sensitivity vs (1 - Specificity) curve across all probability thresholds,Yes,Standard global ranking metric; can look overly optimistic in extreme imbalance,Report for in-domain LOPO and zero-shot transfer
AUPRC (Area Under Precision-Recall Curve),Sample/Window-Level,Area under Precision vs Recall curve across all probability thresholds,"Yes (in zero-shot scripts, omitted in baseline notebook)",Gold standard metric for highly imbalanced biomedical time-series,Mandatory primary evaluation metric for all models
Event-Level Sensitivity (Good-Overlap Rule),Clinical Event-Level,Fraction of clinical seizure events detected by at least one overlapping alarm window,No (Missing),"Clinicians care if the *seizure event* was detected, not just individual windows",MUST BE IMPLEMENTED: Event-level seizure matching engine
False Alarms per 24 Hours (FA/24hr) / False Alarms per Hour (FA/hr),Clinical Time-Normalized,Number of false positive seizure clusters triggered per hour or per 24-hour recording,Partial (Sens @ 1FP/hr in zero-shot scripts; true FA/24hr missing),Top clinical requirement: ICU alarms > 2-3 per day cause severe alarm fatigue and clinical abandonment,MUST BE IMPLEMENTED: Continuous time-normalized false alarm counter
Detection Delay / Latency (seconds),Clinical Time-To-Alarm,Time difference (seconds) between true clinical seizure onset and first model detection alarm,No (Missing),Critical for responsive neurostimulation (RNS) or rapid clinical intervention (< 5-10s),MUST BE IMPLEMENTED: Timestamp onset latency tracker
Cross-Dataset Transfer Degradation Index,Domain Generalization,Relative drop in AUROC/AUPRC when evaluating CHB-MIT trained models on external Siena/Bonn,Partial (computed ad-hoc in zero_shot scripts),Quantifies out-of-distribution robustness across clinical hospital sites,Standardize cross-dataset evaluation protocol
