Paper Section,Claim,Numerical Value,Source Artifact,Dataset,Cohort,Evidence Type,Verified,Notes
Abstract / Section 4.3,Window Sensitivity,83.83%,research/phase_8/final_results/authoritative_final_metrics.json,CHB-MIT,"Test (chb01, chb02, chb03, chb05)",Primary Metric,PASS,534 / 637 positive windows
Abstract / Section 4.3,Window Specificity,99.82%,research/phase_8/final_results/authoritative_final_metrics.json,CHB-MIT,Test Cohort,Primary Metric,PASS,"218,873 / 219,272 negative windows"
Abstract / Section 4.3,Window Precision,57.24%,research/phase_8/final_results/authoritative_final_metrics.json,CHB-MIT,Test Cohort,Primary Metric,PASS,534 / 933 predicted positives
Abstract / Section 4.3,Window F1 Score,0.68025,research/phase_8/final_results/authoritative_final_metrics.json,CHB-MIT,Test Cohort,Primary Metric,PASS,Harmonic mean of sens and prec
Abstract / Section 4.3,Balanced Accuracy,91.82%,research/phase_8/final_results/authoritative_final_metrics.json,CHB-MIT,Test Cohort,Primary Metric,PASS,(Sens + Spec) / 2
Abstract / Section 4.3,Area Under ROC (AUROC),0.98970,research/phase_8/final_results/authoritative_final_metrics.json,CHB-MIT,Test Cohort,Primary Metric,PASS,Trapezoidal integration across thresholds
Abstract / Section 4.3,Area Under PRC (AUPRC),0.80681,research/phase_8/final_results/authoritative_final_metrics.json,CHB-MIT,Test Cohort,Primary Metric,PASS,Natural prevalence baseline = 0.0029 (278x gain)
Abstract / Section 4.6,Event Sensitivity,95.45%,research/phase_8/final_results/authoritative_final_metrics.json,CHB-MIT,Test Cohort,Clinical Event Metric,PASS,21 of 22 test seizures detected
Abstract / Section 4.6,Missed Seizure Identification,chb01_15 seizure_01,research/phase_8/final_results/authoritative_final_metrics.json,CHB-MIT,Test Cohort (chb01),Clinical Event Metric,PASS,"Sole missed event, highly focal short seizure"
Abstract / Section 4.3,False Alarms per 24h,62.66 FA/24h,research/phase_8/final_results/authoritative_final_metrics.json,CHB-MIT,Test Cohort,Operational Clinical Metric,PASS,399 FP windows / 152.82 monitoring hours
Section 4.3,Confusion Matrix TP,534,research/phase_8/final_results/authoritative_final_metrics.json,CHB-MIT,Test Cohort,Raw Count,PASS,Window-level true positives
Section 4.3,Confusion Matrix TN,"218,873",research/phase_8/final_results/authoritative_final_metrics.json,CHB-MIT,Test Cohort,Raw Count,PASS,Window-level true negatives
Section 4.3,Confusion Matrix FP,399,research/phase_8/final_results/authoritative_final_metrics.json,CHB-MIT,Test Cohort,Raw Count,PASS,Window-level false positives
Section 4.3,Confusion Matrix FN,103,research/phase_8/final_results/authoritative_final_metrics.json,CHB-MIT,Test Cohort,Raw Count,PASS,Window-level false negatives
Section 3.1 / 4.3,Total Evaluation Windows,"219,909",research/phase_8/final_results/authoritative_final_metrics.json,CHB-MIT,Test Cohort,Dataset Count,PASS,"TP + TN + FP + FN = 219,909 verified"
